RECORD_NBR,PAY_YEAR,LAST_NAME,FIRST_NAME,DEPARTMENT_NO,DEPARTMENT_TITLE,JOB_CLASS_PGRADE,JOB_TITLE,EMPLOYMENT_TYPE,JOB_STATUS,MOU,MOU_TITLE,REGULAR_PAY,OVERTIME_PAY,ALL_OTHER_PAY,TOTAL_PAY,CITY_RETIREMENT_CONTRIBUTIONS,BENEFIT_PAY,GENDER,ETHNICITY
29120.0,2017.0,1807.0,5597.0,70.0,40.0,928.0,1253.0,0.0,1.0,45.0,32.0,92161.25,3551.06,1621.0,96631.31,42897.65,16819.0,1.0,5.0
45493.0,2017.0,10377.0,2320.0,46.0,35.0,22.0,1068.0,0.0,1.0,1.0,26.0,6280.0,0.0,0.0,6280.0,1863.89,0.0,0.0,7.0
21252.0,2017.0,80.0,10627.0,40.0,26.0,203.0,727.0,1.0,0.0,25.0,44.0,15141.2,0.0,1480.0,16957.2,0.0,0.0,0.0,5.0
43838.0,2017.0,29957.0,13477.0,88.0,48.0,1022.0,1120.0,1.0,0.0,57.0,4.0,579.94,0.0,7.06,599.5,0.0,0.0,0.0,5.0
46326.0,2017.0,18217.0,9704.0,70.0,40.0,928.0,1253.0,0.0,0.0,45.0,32.0,93705.54,33707.27,1629.0,129041.81,39301.42,16817.0,1.0,2.0
3273.0,2017.0,24604.0,2189.0,40.0,26.0,1226.0,518.0,0.0,0.0,25.0,44.0,46860.92,1997.96,1368.36,49908.24,13897.38,14431.43,1.0,7.0
68848.0,2017.0,29448.0,3803.0,70.0,40.0,929.0,1254.0,0.0,0.0,45.0,32.0,99860.31,0.0,1525.0,101385.31,39956.53,15515.38,0.0,7.0
46231.0,2017.0,14050.0,7396.0,86.0,47.0,292.0,978.0,1.0,0.0,67.0,7.0,5980.48,0.0,9304.8,7318.28,0.0,0.0,1.0,4.0
76565.0,2017.0,26735.0,4633.0,4.0,1.0,1232.0,519.0,0.0,0.0,25.0,44.0,26571.08,8704.1,585.0,35835.18,7880.98,11658.14,1.0,7.0
73015.0,2017.0,25734.0,15002.0,38.0,25.0,900.0,811.0,0.0,0.0,43.0,14.0,120924.4,68107.79,6341.63,182725.82,56653.08,17208.0,1.0,5.0
79646.0,2017.0,22541.0,13031.0,94.0,49.0,1319.0,1596.0,0.0,1.0,19.0,47.0,20334.92,1037.06,938.0,21746.98,6025.77,1962.72,0.0,4.0
22943.0,2017.0,29359.0,11300.0,38.0,25.0,907.0,679.0,0.0,0.0,43.0,14.0,113371.45,4790.62,4402.41,163364.46,45473.33,16848.0,1.0,7.0
